,Unnamed: 0,time,lat,lon,soil,ppt,tmax,tmin,aet,def,pdsi,pet,q,srad,swe,vap,vpd,ws,eventDate
0,0,2018-01-01,-25.312499999999982,149.64583333333331,4.0,66.0,35.4,20.900002,63.0,167.0,-2.0,230.0,3.0,323.0,0.0,1.9499999,2.6,3.4,2018-01-01
1,1,2018-02-01,-25.312499999999982,149.64583333333331,4.0,81.0,33.300003,20.0,77.0,84.0,3.5,161.0,4.0,229.0,0.0,1.9699999,1.38,3.2,2018-02-01
2,2,2018-03-01,-25.312499999999982,149.64583333333331,4.0,29.0,31.5,18.400002,28.0,136.0,4.0,163.0,2.0,230.0,0.0,1.8199999,1.38,3.1000001,2018-03-01
3,3,2018-04-01,-25.312499999999982,149.64583333333331,4.0,22.0,29.900002,14.0,21.0,115.0,2.8999996,136.0,1.0,202.0,0.0,1.41,1.39,2.9,2018-04-01
4,4,2018-05-01,-25.312499999999982,149.64583333333331,4.0,14.0,25.0,8.5,14.0,84.0,1.7000008,98.0,1.0,174.0,0.0,1.0699999,1.12,2.2,2018-05-01
5,5,2018-06-01,-25.312499999999982,149.64583333333331,4.0,11.0,22.300003,5.0999985,11.0,56.0,1.1000004,67.0,1.0,145.0,0.0,0.96,0.78,1.7,2018-06-01
6,6,2018-07-01,-25.312499999999982,149.64583333333331,3.0,17.0,22.900002,4.800003,16.0,51.0,-2.1999989,67.0,1.0,163.0,0.0,0.84,0.89,1.2,2018-07-01
7,7,2018-08-01,-25.312499999999982,149.64583333333331,3.0,11.0,24.5,4.4000015,11.0,95.0,-2.5,106.0,1.0,207.0,0.0,0.81,1.22,2.2,2018-08-01
8,8,2018-09-01,-25.312499999999982,149.64583333333331,3.0,11.0,27.700005,9.900002,11.0,129.0,-2.6000004,139.0,1.0,235.0,0.0,1.01,1.38,2.9,2018-09-01
9,9,2018-10-01,-25.312499999999982,149.64583333333331,3.0,49.0,30.900002,15.5,46.0,113.0,-0.79999924,159.0,2.0,234.0,0.0,1.29,1.26,2.5,2018-10-01
10,10,2018-11-01,-25.312499999999982,149.64583333333331,3.0,70.0,33.4,17.599998,67.0,141.0,-1.7999992,208.0,4.0,301.0,0.0,1.55,2.24,3.5,2018-11-01
11,11,2018-12-01,-25.312499999999982,149.64583333333331,3.0,91.0,33.700005,19.400002,87.0,140.0,-2.8999996,226.0,5.0,311.0,0.0,1.8299999,2.28,4.0,2018-12-01
12,12,2019-01-01,-25.312499999999982,149.64583333333331,3.0,59.0,34.9,21.599998,56.0,191.0,-4.0999994,246.0,3.0,312.0,0.0,1.78,2.33,4.1,2019-01-01
13,13,2019-02-01,-25.312499999999982,149.64583333333331,3.0,4.0,34.300003,22.200005,4.0,199.0,-5.0999994,203.0,0.0,282.0,0.0,1.5699999,2.49,3.5,2019-02-01
14,14,2019-03-01,-25.312499999999982,149.64583333333331,3.0,104.0,32.300003,18.400002,99.0,52.0,-4.0,151.0,5.0,221.0,0.0,1.92,1.5699999,2.3,2019-03-01
15,15,2019-04-01,-25.312499999999982,149.64583333333331,3.0,13.0,27.300003,12.700005,12.0,106.0,-4.2,119.0,1.0,195.0,0.0,1.55,1.01,3.1000001,2019-04-01
16,16,2019-05-01,-25.312499999999982,149.64583333333331,3.0,7.0,23.099998,8.800003,7.0,72.0,-4.3999996,78.0,0.0,158.0,0.0,1.14,0.84999996,1.6,2019-05-01
17,17,2019-06-01,-25.312499999999982,149.64583333333331,3.0,31.0,19.800003,4.4000015,29.0,30.0,-3.8999996,59.0,2.0,136.0,0.0,1.03,0.55,1.9,2019-06-01
18,18,2019-07-01,-25.312499999999982,149.64583333333331,2.0,14.0,20.900002,4.800003,14.0,51.0,-3.8999996,65.0,1.0,157.0,0.0,0.9,0.78,1.5,2019-07-01
19,19,2019-08-01,-25.312499999999982,149.64583333333331,2.0,3.0,22.400002,5.5,3.0,90.0,-4.2,93.0,0.0,202.0,0.0,0.71999997,1.1,1.7,2019-08-01
20,20,2019-09-01,-25.312499999999982,149.64583333333331,2.0,1.0,26.800003,9.900002,1.0,139.0,-4.5,139.0,0.0,258.0,0.0,0.7,1.68,2.3,2019-09-01
21,21,2019-10-01,-25.312499999999982,149.64583333333331,2.0,27.0,30.400002,14.800003,26.0,159.0,-4.8,185.0,1.0,287.0,0.0,1.05,1.9699999,2.8,2019-10-01
22,22,2019-11-01,-25.312499999999982,149.64583333333331,2.0,4.0,33.800003,19.200005,4.0,218.0,-5.7,222.0,0.0,324.0,0.0,1.06,2.7,3.0,2019-11-01
23,23,2019-12-01,-25.312499999999982,149.64583333333331,2.0,14.0,36.6,22.400002,13.0,240.0,-6.7,253.0,1.0,347.0,0.0,1.1999999,3.25,2.9,2019-12-01
